,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
0,cochocri,infosalus com,"RT @infosalus_com: Un medicamento para la diabetes tiene implicaciones amplias e inesperadas para el envejecimiento saludable

https://t.co…",True,La tierra,"Un medicamento para la diabetes tiene implicaciones amplias e inesperadas para el envejecimiento saludable

…",0.4019
1,Lecturas24H,,"📌 Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/zbbppuN425",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado,0.0
2,nubiaredondo,SitiosArgentina,RT @SitiosArgentina: Caminar lento a los 45 años puede ser una señal de envejecimiento rápido https://t.co/f72MpUp0eU https://t.co/DEDtLtsX…,True,venezuela valencia,Caminar lento a los 45 años puede ser una señal de envejecimiento rápido  …,0.0
3,wbettyw5,,"https://t.co/DD1Kqj1cro eliminar los clips, deslízalosEl alfiler copió fragmentos de textoPara eliminar los clips, deslízalos para que no expiren después de 1 hora?format=amp",False,Sinaloa,eliminar los clips deslízalosEl alfiler copió fragmentos de textoPara eliminar los clips deslízalos para que no expiren después de 1 horaformatamp,0.0
4,filoelomodrmb11,InfoReportes,RT @InfoReportes: 🔥 Sentirte joven hará que se retrase el envejecimiento de tu cerebro https://t.co/ck4urkTTPo,True,,Sentirte joven hará que se retrase el envejecimiento de tu cerebro,-0.3182
5,Hiperenlazados,,"⚡️ ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/FCpJ3A6Vhw",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
6,Tuiterricolas,,🔥 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/t4KpCCDNe5,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
7,LaCronologia,,"⚡️ Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/7MzFit9rF6",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
8,Majo49247977,IESSZamora,"RT @IESSZamora: Como parte de la estrategia #IESSProSalud, los adultos mayores del Programa de Envejecimiento Activo y Saludable de Zamora,…",True,,Como parte de la estrategia IESSProSalud los adultos mayores del Programa de Envejecimiento Activo y Saludable de Zamora…,0.6597
9,paherrera1,infosalus com,"RT @infosalus_com: Un medicamento para la diabetes tiene implicaciones amplias e inesperadas para el envejecimiento saludable

https://t.co…",True,,"Un medicamento para la diabetes tiene implicaciones amplias e inesperadas para el envejecimiento saludable

…",0.4019
10,InfoReportes,,🔥 Sentirte joven hará que se retrase el envejecimiento de tu cerebro https://t.co/ck4urkTTPo,False,"Madrid, Comunidad de Madrid",Sentirte joven hará que se retrase el envejecimiento de tu cerebro,-0.3182
11,Serdomas,,"Localizadores GPS Cietact 
Localizadores GPS Cietact (5 colores) por sólo 2,86€ con el #código: 36PH4KA6

https://t.co/KUsL7GlmYR

#PersonasMayores #Chollos #Descuentos Para toda la familia. 
https://t.co/vxn60Uv2v0 https://t.co/JIj1ZeoLub",False,Madrid,"Localizadores GPS Cietact 
Localizadores GPS Cietact 5 colores por sólo 286€ con el código 36PH4KA6



PersonasMayores Chollos Descuentos Para toda la familia",0.0
12,Fran relatos,BeautyworksBcn,"RT @BeautyworksBcn: ▶️ Sculptra #BeautyWorksClinic , hoy os mostramos un tratamiento indicado para la corrección de los signos de envejecim…",True,"Salamanca, España",Sculptra BeautyWorksClinic  hoy os mostramos un tratamiento indicado para la corrección de los signos de envejecim…,0.0
13,ElIlustrativo,,⚡️ Sentirte joven hará que se retrase el envejecimiento de tu cerebro https://t.co/2L8VR347ip,False,"Comunidad de Madrid, España",Sentirte joven hará que se retrase el envejecimiento de tu cerebro,-0.3182
14,ZonaCien,,"🎯 Grandes avances en la lucha contra el cáncer, la diabetes, la demencia y otras enfermedades provocadas por el envejecimiento celular... https://t.co/FjCjGpiGGJ",False,España,Grandes avances en la lucha contra el cáncer la diabetes la demencia y otras enfermedades provocadas por el envejecimiento celular,-0.7906
15,Celeste Fischer,infosalus com,"RT @infosalus_com: Un medicamento para la diabetes tiene implicaciones amplias e inesperadas para el envejecimiento saludable

https://t.co…",True,Alicante,"Un medicamento para la diabetes tiene implicaciones amplias e inesperadas para el envejecimiento saludable

…",0.4019
16,1933Ale,AmbienteVejez,RT @AmbienteVejez: Presentación del libro #Envejecimiento DE LA POBLACIÓN Y #CambioClimático. VULNERABILIDAD Y RESILIENCIA DESDE LA GERONTO…,True,,Presentación del libro Envejecimiento DE LA POBLACIÓN Y CambioClimático VULNERABILIDAD Y RESILIENCIA DESDE LA GERONTO…,-0.3885
