,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
0,APADISASOC,"GrandesAmigos  , Reale Seguros","RT @GrandesAmigos__: Seguimos en el #MercadilloReale hoy y mañana jueves, de 11 a 17h📍C/Príncipe de Vergara, 125 Madrid, en @Reale_Seguros…",True,San Sebastián de los Reyes,Seguimos en el MercadilloReale hoy y mañana jueves de 11 a 17hCPríncipe de Vergara 125 Madrid en …,0.0
1,APADISASOC,GrandesAmigos  ,"RT @GrandesAmigos__: ¿Quieres tus #CalcetinesAmigos, las Pulseras de la Amistad o las camisetas de #OrgulloDeArrugas y ayudar a que las #pe…",True,San Sebastián de los Reyes,¿Quieres tus CalcetinesAmigos las Pulseras de la Amistad o las camisetas de OrgulloDeArrugas y ayudar a que las pe…,0.7096
2,MicaelaMafla,"DeporteEc, Deporte CZ2","RT @DeporteEc: Junto a instructores de la Coordinación @Deporte_CZ2, adultos mayores de Napo realizan actividades físicas rítmicas y recrea…",True,Napo,Junto a instructores de la Coordinación  adultos mayores de Napo realizan actividades físicas rítmicas y recrea…,0.0
3,ignacio conejo,"AlmasDigitales, Raquelroca, AlmasDigitales","RT @AlmasDigitales: 🔴🎥Entrevista en directo a @Raquelroca 
🗓Hoy (11.12.19)
⏰20:00h
📍Fan Page de @AlmasDigitales 
👉https://t.co/xrnbgWRO7n
#…",True,GastroMálaga📲🍽️,"Entrevista en directo a  
Hoy 111219
⏰2000h
Fan Page de  

…",0.3182
4,ignacio conejo,"anavillarcar, Raquelroca, AlmasDigitales","RT @anavillarcar: 🔴📹Nuevo encuentro en directo para recibir a @Raquelroca 

📅Hoy (11-12-19)
🕗20:00h 🇪🇸
📌En la Fan Page @AlmasDigitales 
➡️…",True,GastroMálaga📲🍽️,"Nuevo encuentro en directo para recibir a  

Hoy 111219
2000h 
En la Fan Page  
…",0.3182
5,PattyCasanas,"DeporteEc, Deporte CZ2","RT @DeporteEc: Junto a instructores de la Coordinación @Deporte_CZ2, adultos mayores de Napo realizan actividades físicas rítmicas y recrea…",True,,Junto a instructores de la Coordinación  adultos mayores de Napo realizan actividades físicas rítmicas y recrea…,0.0
6,LaPublicacion,,"⚠️ Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/ke1lx7hJrI",False,"Madrid, Comunidad de Madrid",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
7,Valeria47067474,"DeporteEc, Deporte CZ2","RT @DeporteEc: Junto a instructores de la Coordinación @Deporte_CZ2, adultos mayores de Napo realizan actividades físicas rítmicas y recrea…",True,"Quito, Ecuador",Junto a instructores de la Coordinación  adultos mayores de Napo realizan actividades físicas rítmicas y recrea…,0.0
8,TuiterPro,,"⚠️ Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/ybJlyyCvy3",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
9,cuderbravo,abcdesevilla,RT @abcdesevilla: El protagonismo de Joaquín al conseguir el hat trick decisivo en el #Betis – Athletic Club con 38 años ha traspasado fron…,True,"Sevilla, Andalucía",El protagonismo de Joaquín al conseguir el hat trick decisivo en el Betis – Athletic Club con 38 años ha traspasado fron…,0.1779
10,patyolmos13,gaby vargas,"RT @gaby_vargas: La mejor medicina para la salud y el secreto de la longevidad es dormir ocho horas diarias.
#EneergíaTuPoder https://t.co/…",True,,"La mejor medicina para la salud y el secreto de la longevidad es dormir ocho horas diarias
EneergíaTuPoder …",0.6369
11,IvanAguilar Ec,"DeporteEc, Deporte CZ2","RT @DeporteEc: Junto a instructores de la Coordinación @Deporte_CZ2, adultos mayores de Napo realizan actividades físicas rítmicas y recrea…",True,,Junto a instructores de la Coordinación  adultos mayores de Napo realizan actividades físicas rítmicas y recrea…,0.0
12,soloelmensajero,,☀️ ¿Cuál es el secreto de la longevidad de las tortugas?... https://t.co/MHZwT1cDBj,False,España - Argentina - Francia,¿Cuál es el secreto de la longevidad de las tortugas,0.0
13,TuitReportes,,⚠️ Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/ajB6Ruz06h,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
14,Twittematico,,"⚠️ ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/pcIrnEWfEH",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
15,Mishualg,"DeporteEc, Deporte CZ2","RT @DeporteEc: Junto a instructores de la Coordinación @Deporte_CZ2, adultos mayores de Napo realizan actividades físicas rítmicas y recrea…",True,,Junto a instructores de la Coordinación  adultos mayores de Napo realizan actividades físicas rítmicas y recrea…,0.0
16,Twittematico,,💡 Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/pcIrnEWfEH,False,"Comunidad de Madrid, España",Si quieres vivir muchos años Asegúrate de tener una pareja feliz,0.743
17,ZonaMediatica,,💡 Sentirte joven hará que se retrase el envejecimiento de tu cerebro https://t.co/SGG1u4FcGC,False,"Comunidad de Madrid, España",Sentirte joven hará que se retrase el envejecimiento de tu cerebro,-0.3182
18,PAOLA46253677,"DeporteEc, Deporte CZ2","RT @DeporteEc: Junto a instructores de la Coordinación @Deporte_CZ2, adultos mayores de Napo realizan actividades físicas rítmicas y recrea…",True,,Junto a instructores de la Coordinación  adultos mayores de Napo realizan actividades físicas rítmicas y recrea…,0.0
