,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
0,raulLiconarami1,BaudelairePress,"RT @BaudelairePress: 🎯 Grandes avances en la lucha contra el cáncer, la diabetes, la demencia y otras enfermedades provocadas por el enveje…",True,,Grandes avances en la lucha contra el cáncer la diabetes la demencia y otras enfermedades provocadas por el enveje…,-0.7906
1,RobertoDLemos,DianaPacios,"RT @DianaPacios: “Desde 1980, se han producido 52 millones de abortos en la UE”
52 millones de niños que no nacieron. 
Es el equivalente a…",True,Chetoslovaquia,"“Desde 1980 se han producido 52 millones de abortos en la UE”
52 millones de niños que no nacieron 
Es el equivalente a…",0.0
2,bbvajubilacion,CEDDD ,"RT @CEDDD_: ✍️😁 Se amplia el plazo para presentar los trabajos de investigación en la I Edición de los premios ""Longevia"" https://t.co/b2bw…",True,,Se amplia el plazo para presentar los trabajos de investigación en la I Edición de los premios Longevia …,0.5423
3,BaudelairePress,,"🎯 Grandes avances en la lucha contra el cáncer, la diabetes, la demencia y otras enfermedades provocadas por el envejecimiento celular... https://t.co/tZ72D4L75I",False,Global,Grandes avances en la lucha contra el cáncer la diabetes la demencia y otras enfermedades provocadas por el envejecimiento celular,-0.7906
4,soncabas,TecNovedosos,RT @TecNovedosos: ⚡️ Sentirte joven hará que se retrase el envejecimiento de tu cerebro https://t.co/6aWqh3bA0H,True,,Sentirte joven hará que se retrase el envejecimiento de tu cerebro,-0.3182
5,Postematico,,"⚡️ ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/ndcrsUKnK5",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
6,TuitSugerido,,"⚡️ Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/hhQB4WfguX",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
7,clementinagv,RafaelRuiz1957,RT @RafaelRuiz1957: Se equivoca usted Sra. Bachelet. La mayor amenaza a los #DerechosHumanos y a la #Humanidad es el envejecimiento de la p…,True,,Se equivoca usted Sra Bachelet La mayor amenaza a los DerechosHumanos y a la Humanidad es el envejecimiento de la p…,-0.3182
8,MarvinHarris76,ObservaSoledad,"RT @ObservaSoledad: 🗣️ “La #residencia debe ser un lugar donde vivir y en el que la persona se sienta en su casa”.

Entrevistamos a Mercè M…",True,"Vigo,España","“La residencia debe ser un lugar donde vivir y en el que la persona se sienta en su casa”

Entrevistamos a Mercè M…",0.0
9,InfoApuntes,,"📌 Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/YcRZUtmJr1",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado,0.0
10,InfoApuntes,,"🔥 Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/YcRZUtEkiz",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio,0.0
11,ObservaSoledad,,"🗣️ “La #residencia debe ser un lugar donde vivir y en el que la persona se sienta en su casa”.

Entrevistamos a Mercè Mas sobre los derechos de las #personasmayores, la perspectiva de #género y la importancia de la Atención Centrada en la Persona 👇
https://t.co/rlT6XDCdWV",False,Espanya,"“La residencia debe ser un lugar donde vivir y en el que la persona se sienta en su casa”

Entrevistamos a Mercè Mas sobre los derechos de las personasmayores la perspectiva de género y la importancia de la Atención Centrada en la Persona",0.6908
12,Jrafaelsifontes,AgendaOnline,"RT @AgendaOnline: ⚡️ Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/56CmLZmCE3",True,Venezuela,Discapacidad ¿el precio por vivir más Envejecimiento,0.0
13,AgendaOnline,,"⚡️ Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/56CmLZmCE3",False,"Madrid, Comunidad de Madrid",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
14,DonSinoptico,,📌 Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/koVJ3AU3t6,False,"Comunidad de Madrid, España",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad,0.0
15,LosArticulistas,,"⚡️ Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/UH6uFW9DAu",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
16,TeActualizas,,⚡️ ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/6guKsNPeMV,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
17,la estanquera ,,☀️ ¿Cuál es el secreto de la longevidad de las tortugas?... https://t.co/LflNdrMLpF,False,"Manresa, Barcelona",¿Cuál es el secreto de la longevidad de las tortugas,0.0
18,hoycyl com,,"El envejecimiento del parque móvil de la Comunidad incrementa el número de ITV un 10% en los últimos cinco años
https://t.co/bDh4DNN5mx",False,"Valladolid, España",El envejecimiento del parque móvil de la Comunidad incrementa el número de ITV un 10 en los últimos cinco años,0.3818
19,LaRedRevela,,📌 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/8IezXm7D8y,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
20,CarlosSnchezS12,,Entrevista con Valentín Fuster sobre envejecimiento activo y corazón - Uppers Desde Discover de Google https://t.co/ObZwekn3po,False,Vitoria,Entrevista con Valentín Fuster sobre envejecimiento activo y corazón  Uppers Desde Discover de Google,0.4019
21,manuelbl,nu TRIceci,"RT @nu_TRIceci: Nuevos conocimientos sobre envejecimiento.

✓Tenemos 3 ""oleadas"": a los 36 años, a los 60 y a los 78; debido a las ondulaci…",True,"Cambridge, England","Nuevos conocimientos sobre envejecimiento

Tenemos 3 oleadas a los 36 años a los 60 y a los 78 debido a las ondulaci…",0.0
22,AlmadaSilivia,DianaPacios,"RT @DianaPacios: “Desde 1980, se han producido 52 millones de abortos en la UE”
52 millones de niños que no nacieron. 
Es el equivalente a…",True,,"“Desde 1980 se han producido 52 millones de abortos en la UE”
52 millones de niños que no nacieron 
Es el equivalente a…",0.0
23,Zaida56823640,ElBierzoDigital,"RT @ElBierzoDigital: El envejecimiento del parque móvil incrementa el número de ITV un 10 por ciento en los últimos cinco años
https://t.co…",True,"Ponferrada, España","El envejecimiento del parque móvil incrementa el número de ITV un 10 por ciento en los últimos cinco años
…",0.0772
24,InfoReportes,,"⚡️ Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/WETqSLFN63",False,"Madrid, Comunidad de Madrid",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
25,zaidagarro,ElBierzoDigital,"RT @ElBierzoDigital: El envejecimiento del parque móvil incrementa el número de ITV un 10 por ciento en los últimos cinco años
https://t.co…",True,"Ponferrada, España","El envejecimiento del parque móvil incrementa el número de ITV un 10 por ciento en los últimos cinco años
…",0.0772
26,blogm633,,"En casi 6,000 años que tiene el ser humano de vivir en el planeta Tierra nunca se había vivido tanta paz, seguridad, prosperidad y longevidad 
🙏❤🙏😀👍 https://t.co/eiT9N6RTNO",False,Panama,En casi 6000 años que tiene el ser humano de vivir en el planeta Tierra nunca se había vivido tanta paz seguridad prosperidad y longevidad,0.7537
27,LaPublicacion,,🔥 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/BwzlEJpnGk,False,"Madrid, Comunidad de Madrid",¿Cuántos años podemos vivir los humanos Longevidad,0.0
28,RafaelRuiz1957,RafaelRuiz1957,RT @RafaelRuiz1957: Se equivoca usted Sra. Bachelet. La mayor amenaza a los #DerechosHumanos y a la #Humanidad es el envejecimiento de la p…,True,"Madrid, Spain",Se equivoca usted Sra Bachelet La mayor amenaza a los DerechosHumanos y a la Humanidad es el envejecimiento de la p…,-0.3182
29,tablon noticias,,🍁 El envejecimiento puede revertirse como cualquier enfermedad gracias a un fármaco sintetizado por la Escuela de Medicina de Harvard.... https://t.co/WDogx2qJ2a,False,España y el mundo,El envejecimiento puede revertirse como cualquier enfermedad gracias a un fármaco sintetizado por la Escuela de Medicina de Harvard,0.6597
30,Lecturas24H,,"📌 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/az3zQ8o2yB",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
31,FranLSantamaria,"Javier delMonte, TEDxAlcarriaSt","RT @Javier_delMonte: “¿Qué quieres ser de mayor? Entornos amigables” @TEDxAlcarriaSt 

👉https://t.co/rppQgcJNZc

#TEDxAlcarriaSt 2018 #Enve…",True,Las Palmas de Gran Canaria,"“¿Qué quieres ser de mayor Entornos amigables”  



TEDxAlcarriaSt 2018 Enve…",0.0772
32,jpalopcasado,"Javier delMonte, TEDxAlcarriaSt","RT @Javier_delMonte: “¿Qué quieres ser de mayor? Entornos amigables” @TEDxAlcarriaSt 

👉https://t.co/rppQgcJNZc

#TEDxAlcarriaSt 2018 #Enve…",True,Canary Islands ,"“¿Qué quieres ser de mayor Entornos amigables”  



TEDxAlcarriaSt 2018 Enve…",0.0772
33,EneLife,,Un medicamento para la diabetes tiene implicaciones amplias e inesperadas para el envejecimiento saludable https://t.co/UNEMAIMfbP,False,Madrid + Barcelona,Un medicamento para la diabetes tiene implicaciones amplias e inesperadas para el envejecimiento saludable,0.4019
34,TuiterPro,,"🔥 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/REdt0GeWR5",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
35,mlaura falcone,,"Ahora soy consciente del envejecimiento nasal, maravilloso, duda resuelta ahorrar para la rinoplastia",False,"Granada, España",Ahora soy consciente del envejecimiento nasal maravilloso duda resuelta ahorrar para la rinoplastia,0.7269
36,eselprimerpalo,,"😂No es un chiste... 

🔝Joaquín marca su primer hat trick... ¡A los 38 años y en 20 minutos!

🧓Ha superado una marca de longevidad de 1964

https://t.co/Ubn0ZEgeEc",False,,"No es un chiste 

Joaquín marca su primer hat trick ¡A los 38 años y en 20 minutos

Ha superado una marca de longevidad de 1964",-0.2705
37,Luisjoargue,abc ciencia,La fórmula Koschéi para retrasar el envejecimiento https://t.co/jIsY5YxePh via @ABC_Ciencia,False,,La fórmula Koschéi para retrasar el envejecimiento  via,-0.3182
38,Postematico,,"🔥 Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/n7df6ZGfTR",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio,0.0
39,Informedios,,🔥 Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/3KBzySd19G,False,"Comunidad de Madrid, España",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad,0.0
40,TeActualizas,,"🔥 Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/f0WqYtBEG6",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
41,EfectoCognitivo,,"📌 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/6hWLxuYPEi",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
42,carlos sicardi,DianaPacios,"RT @DianaPacios: “Desde 1980, se han producido 52 millones de abortos en la UE”
52 millones de niños que no nacieron. 
Es el equivalente a…",True,"Buenos Aires, Argentina","“Desde 1980 se han producido 52 millones de abortos en la UE”
52 millones de niños que no nacieron 
Es el equivalente a…",0.0
43,Enteremonos,,🔥 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/EGUN21g8KN,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
