,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
0,cyl fica,,"El envejecimiento reducirá la renta de cada español en 6.500 euros hasta 2050
https://t.co/lJQRnbqnuH",False,"Castilla y León, España",El envejecimiento reducirá la renta de cada español en 6500 euros hasta 2050,0.0
1,VonVolga,"fermione , otrovega","@fermione_ @otrovega en envejecimiento poblacional genera serios problemas en los sistemas previsionales
Ecuación: mayor población pasiva y menor población activa el sistema de pensiones y jubilaciones se cae",False,Argentina ,"en envejecimiento poblacional genera serios problemas en los sistemas previsionales
Ecuación mayor población pasiva y menor población activa el sistema de pensiones y jubilaciones se cae",0.3197
2,GacetaMadrid,,💡 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/btirGhPtgH,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
3,raulsanchezfl,,China recluta expertos en geriatría ante envejecimiento poblacional https://t.co/r5MPtEEKvW,False,,China recluta expertos en geriatría ante envejecimiento poblacional,0.0
4,pulseradetela,"GrandesAmigos  , Reale Seguros","RT @GrandesAmigos__: Seguimos en el #MercadilloReale hoy y mañana jueves, de 11 a 17h📍C/Príncipe de Vergara, 125 Madrid, en @Reale_Seguros…",True,"Sevilla, España",Seguimos en el MercadilloReale hoy y mañana jueves de 11 a 17hCPríncipe de Vergara 125 Madrid en …,0.0
5,LindaTougo,elmejoraloeweb,"RT @elmejoraloeweb: TÓNICO ANTIEDAD SUAVE👱‍♀️💚
Echa un vistazo⏩ https://t.co/Dp7q33QeWq⏪

⚜️⚜️⚜️

✅Para pieles secas y sensibles
🌼Previene…",True,"Barcelona, España","TÓNICO ANTIEDAD SUAVE
Echa un vistazo ⏪



Para pieles secas y sensibles
Previene…",0.0
6,TuitSugerido,,"💡 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/S5V72etvsx",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
7,la estanquera ,,🔔 El envejecimiento puede revertirse como cualquier enfermedad gracias a un fármaco sintetizado por la Escuela de Medicina de Harvard.... https://t.co/gpGnvnKyiZ,False,"Manresa, Barcelona",El envejecimiento puede revertirse como cualquier enfermedad gracias a un fármaco sintetizado por la Escuela de Medicina de Harvard,0.6597
8,NetPress Inc,,🔔 El envejecimiento puede revertirse como cualquier enfermedad gracias a un fármaco sintetizado por la Escuela de Medicina de Harvard.... https://t.co/7whd3ZaPpp,False,Worldwide,El envejecimiento puede revertirse como cualquier enfermedad gracias a un fármaco sintetizado por la Escuela de Medicina de Harvard,0.6597
9,EFEnoticias,,"El envejecimiento reducirá la renta de cada español en 6.500 euros hasta 2050
https://t.co/pdd1tWR22V",False,Madrid,El envejecimiento reducirá la renta de cada español en 6500 euros hasta 2050,0.0
10,RotaDatos,,💡 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/oY7ha7oswz,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
11,Fcotta63,elmejoraloeweb,"RT @elmejoraloeweb: TÓNICO ANTIEDAD SUAVE👱‍♀️💚
Echa un vistazo⏩ https://t.co/Dp7q33QeWq⏪

⚜️⚜️⚜️

✅Para pieles secas y sensibles
🌼Previene…",True,www.fernandocotta.es,"TÓNICO ANTIEDAD SUAVE
Echa un vistazo ⏪



Para pieles secas y sensibles
Previene…",0.0
12,camaradazinovie,,Revelan 3 etapas del envejecimiento: ¿ya estás en alguna? https://t.co/B7Qa5qo7Ix,False,Venezuela,Revelan 3 etapas del envejecimiento ¿ya estás en alguna,0.0
13,44Jesteller,Cheskacsk,@Cheskacsk 💊 Tambien 🤷🏻‍♂️. “Millenials descubren el Envejecimiento” 😬😘,False,,Tambien  “Millenials descubren el Envejecimiento”,0.0
14,kimerius,,El número de centenarios se ha duplicado en Catalunya en la última década https://t.co/UgRvFKXx8d,False,Spain,El número de centenarios se ha duplicado en Catalunya en la última década,0.0772
15,Myri Rossainz,gaby vargas,"RT @gaby_vargas: La mejor medicina para la salud y el secreto de la longevidad es dormir ocho horas diarias.
#EneergíaTuPoder https://t.co/…",True,"Galicia, España","La mejor medicina para la salud y el secreto de la longevidad es dormir ocho horas diarias
EneergíaTuPoder …",0.6369
16,senditali,GeriatricArea,"RT @GeriatricArea: Los expertos advierten que es preciso unificar los servicios sanitarios, sociales, farmacéuticos y residenciales en la a…",True,,Los expertos advierten que es preciso unificar los servicios sanitarios sociales farmacéuticos y residenciales en la a…,-0.1027
17,supcseguro,elmejoraloeweb,"RT @elmejoraloeweb: TÓNICO ANTIEDAD SUAVE👱‍♀️💚
Echa un vistazo⏩ https://t.co/Dp7q33QeWq⏪

⚜️⚜️⚜️

✅Para pieles secas y sensibles
🌼Previene…",True,España,"TÓNICO ANTIEDAD SUAVE
Echa un vistazo ⏪



Para pieles secas y sensibles
Previene…",0.0
18,LaRedRevela,,"💡 Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/CI5hfvGCI2",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio,0.0
19,GacetaMadrid,,🔰 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/WlfX9tg6sR,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
20,aesingularidad,,"El envejecimiento no es continuo, sino por saltos https://t.co/1ZbZOuOe2N",False,,El envejecimiento no es continuo sino por saltos,0.0
21,GeriatricArea,"GeriatricArea, EdadyVida","Los expertos advierten que es preciso unificar los servicios sanitarios, sociales, farmacéuticos y residenciales en la atención a las personas mayores para dar una respuesta eficaz al reto del #envejecimiento - https://t.co/FpKTLTIjqQ - vía @GeriatricArea @EdadyVida",False,,Los expertos advierten que es preciso unificar los servicios sanitarios sociales farmacéuticos y residenciales en la atención a las personas mayores para dar una respuesta eficaz al reto del envejecimiento    vía,0.7351
22,ZonaMediatica,,"🔰 Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/MTQ4EjoVjA",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
23,Tuitores,,"💡 Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/WN6YNpYwNC",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
24,ApunteIndicado,,💡 Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/ui1mYBmV0i,False,"Sevilla, España",Si quieres vivir muchos años Asegúrate de tener una pareja feliz,0.743
25,CruzRojaLeonES,,"Desde los proyectos de personas mayores hemos querido poner el broche final a las actividades realizadas este año dejando un buen sabor de boca y disfrutando de un chocolate con churros en la mejor compañía.
#IRPFCastillayLeon 
#MenosPlatoyMasZapato #ACLaBañeza #PersonasMayores https://t.co/8LglaXUH6G",False,"León, España","Desde los proyectos de personas mayores hemos querido poner el broche final a las actividades realizadas este año dejando un buen sabor de boca y disfrutando de un chocolate con churros en la mejor compañía
IRPFCastillayLeon 
MenosPlatoyMasZapato ACLaBañeza PersonasMayores",0.8885
26,infoen280,,"El envejecimiento no es continuo, sino por saltos - Tendencias 21 https://t.co/fft6qXizWc",False,Republica Argentina,El envejecimiento no es continuo sino por saltos  Tendencias 21,0.0
27,miyomasfriki,,"El envejecimiento no es continuo, sino por saltos
https://t.co/sPv9o6iZL5",False,"Madrid, Comunidad de Madrid",El envejecimiento no es continuo sino por saltos,0.0
28,BriandLcg,fjconpe,"RT @fjconpe: Familias fuertes/duraderas = natalidad = supervivencia de la nación.

Volatilidad familiar = infranatalidad = fin de la nación…",True,ESPAÑA,"Familias fuertesduraderas  natalidad  supervivencia de la nación

Volatilidad familiar  infranatalidad  fin de la nación…",0.0
29,Lucifer170300,gaby vargas,"RT @gaby_vargas: La mejor medicina para la salud y el secreto de la longevidad es dormir ocho horas diarias.
#EneergíaTuPoder https://t.co/…",True,"Gustavo A. Madero, Distrito Fe","La mejor medicina para la salud y el secreto de la longevidad es dormir ocho horas diarias
EneergíaTuPoder …",0.6369
30,CLICMODO,,"🔰 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/NQUnX6Onsm",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
31,LosArticulistas,,💡 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/zRGNB2kb1C,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
32,XAbogabir,"COP25CL, CarolaSchmidtZ, gmunozabogabir, travesia100",Qué honor estar presente en el traspaso de la @COP25CL a #Glasgow junto a la Ministra @CarolaSchmidtZ y @gmunozabogabir Siempre destacando la disponibilidad de las #personasmayores  de trabajar con otros generaciones para enfrentar los desafíos de la  humanidad @travesia100 https://t.co/YNEsrU3zvB,False,Santiago de Chile,Qué honor estar presente en el traspaso de la  a Glasgow junto a la Ministra  y  Siempre destacando la disponibilidad de las personasmayores  de trabajar con otros generaciones para enfrentar los desafíos de la  humanidad,0.5423
33,Difusion365,,"⚠️ ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/uFdl0zT31y",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
34,djmlm95,fjconpe,"RT @fjconpe: Familias fuertes/duraderas = natalidad = supervivencia de la nación.

Volatilidad familiar = infranatalidad = fin de la nación…",True,,"Familias fuertesduraderas  natalidad  supervivencia de la nación

Volatilidad familiar  infranatalidad  fin de la nación…",0.0
35,292ysumando,,"El envejecimiento se produce en tres momentos clave: a los 34, 60 y 78 años de edad, cuando se alteran repentinamente los niveles de 1.379 proteínas sanguíneas.  https://t.co/eB7ZWFvtyj",False,"Comunidad de Madrid, España",El envejecimiento se produce en tres momentos clave a los 34 60 y 78 años de edad cuando se alteran repentinamente los niveles de 1379 proteínas sanguíneas,0.0
36,BolsosMonaies,elmejoraloeweb,"RT @elmejoraloeweb: TÓNICO ANTIEDAD SUAVE👱‍♀️💚
Echa un vistazo⏩ https://t.co/Dp7q33QeWq⏪

⚜️⚜️⚜️

✅Para pieles secas y sensibles
🌼Previene…",True,"Valladolid,Castilla y León,Esp","TÓNICO ANTIEDAD SUAVE
Echa un vistazo ⏪



Para pieles secas y sensibles
Previene…",0.0
37,sandin5,AESTE oficial,"RT @AESTE_oficial: 💫Ahora, que se acercan las fechas navideñas nos preguntamos ¿cómo mantener una alimentación adecuada? 
🍎Hemos diseñado u…",True,Madrid,"Ahora que se acercan las fechas navideñas nos preguntamos ¿cómo mantener una alimentación adecuada 
Hemos diseñado u…",0.0
38,OrganicSkcare,,"La vitamina C, lucha contra el envejecimiento ya que estimula la creación de colágeno, actúa como escudo protector frente a los radicales libres ya que es antioxidante y disminuye las manchas ya que ayuda a la piel a regenerarse. 🍊 🍊 🍊

#belleza #beauty #cuidadospiel #skin https://t.co/iJIHhozA0y",False,ESPAÑA,"La vitamina C lucha contra el envejecimiento ya que estimula la creación de colágeno actúa como escudo protector frente a los radicales libres ya que es antioxidante y disminuye las manchas ya que ayuda a la piel a regenerarse   

belleza beauty cuidadospiel skin",0.9451
39,pes maravilla,,"Lo flipante, la noticia, sería que la tasa de natalidad aumentara no incluso se mantuviera. Eso significaría que la tasa de fertilidad (la que importa) ha aumentado tanto como para compensar el envejecimiento.",False,Bilbao - Madrid,Lo flipante la noticia sería que la tasa de natalidad aumentara no incluso se mantuviera Eso significaría que la tasa de fertilidad la que importa ha aumentado tanto como para compensar el envejecimiento,0.8074
40,rosapitufaC,fjconpe,"RT @fjconpe: Familias fuertes/duraderas = natalidad = supervivencia de la nación.

Volatilidad familiar = infranatalidad = fin de la nación…",True,"Valencia, España","Familias fuertesduraderas  natalidad  supervivencia de la nación

Volatilidad familiar  infranatalidad  fin de la nación…",0.0
41,InmoDerecho,LaVanguardia,La natalidad se desploma en España con la cifra más baja desde 1941: De enero a junio se produjeron 170.074 nacimientos frente a 215.478 defunciones https://t.co/620tSinRP6 @LaVanguardia #demografia #natalidad #envejecimiento #población,False,"L'Hospitalet de Llobregat, Esp",La natalidad se desploma en España con la cifra más baja desde 1941 De enero a junio se produjeron 170074 nacimientos frente a 215478 defunciones   demografia natalidad envejecimiento población,-0.3182
42,cristinapelaez,fjconpe,"RT @fjconpe: Familias fuertes/duraderas = natalidad = supervivencia de la nación.

Volatilidad familiar = infranatalidad = fin de la nación…",True,"Sevilla, España","Familias fuertesduraderas  natalidad  supervivencia de la nación

Volatilidad familiar  infranatalidad  fin de la nación…",0.0
43,DrJAVillegas,,"El uso de senolíticos, fármacos citotóxicos con especificidad para las células senescentes, puede eliminar las células senescentes producidas por la quimioterapia del cáncer o el envejecimiento, lo que resulta en ambos casos en la recuperación del tejido. https://t.co/q2DYDipQKy",False,"Región de Murcia, España",El uso de senolíticos fármacos citotóxicos con especificidad para las células senescentes puede eliminar las células senescentes producidas por la quimioterapia del cáncer o el envejecimiento lo que resulta en ambos casos en la recuperación del tejido,-0.6597
44,Silvia01959929,laurarosillo,RT @laurarosillo: El futuro es #sénior. +45 Somos la nueva mayoría. Desplome de la #natalidad vs media de #longevidad 83 años https://t.co/…,True,,El futuro es sénior 45 Somos la nueva mayoría Desplome de la natalidad vs media de longevidad 83 años …,-0.4939
45,Imserso,"sanidadgob, luisacarcedo",✅ Ayer se celebró en la sede central del #Imserso la reunión del Pleno del Consejo Estatal de las #PersonasMayores presidido por la ministra en funciones de @sanidadgob @luisacarcedo (1/2). https://t.co/TwjMxK9ElM,False,Madrid,Ayer se celebró en la sede central del Imserso la reunión del Pleno del Consejo Estatal de las PersonasMayores presidido por la ministra en funciones de   12,0.0
