,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
0,GacetaMadrid,,🔷 Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/YA4AObb5MS,False,"Comunidad de Madrid, España",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad,0.0
1,genotipado,,🎯 Esta es la razón de que los llamados super-agers sean tan longevos y tengan tanta salud... https://t.co/CAue3WYth7,False,"Barcelona, Madrid, Galicia",Esta es la razón de que los llamados superagers sean tan longevos y tengan tanta salud,0.0
2,SuperTrinos,,🔷 Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/pffRKjMrgC,False,"Comunidad de Madrid, España",Si quieres vivir muchos años Asegúrate de tener una pareja feliz,0.743
3,Tuiterricolas,,🔷 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/t4KpCCDNe5,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
4,SuperTrinos,,🔵 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/2Hkd9xdy9N,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
5,EfectoCognitivo,,🔵 Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/6hWLxuYPEi,False,"Comunidad de Madrid, España",Si quieres vivir muchos años Asegúrate de tener una pareja feliz,0.743
6,KarlMarxxx2,PamJiles,@PamJiles El odio y resentimiento provocan un envejecimiento acelerado.,False,"Santiago, Metropolitana de Santiago",El odio y resentimiento provocan un envejecimiento acelerado,-0.8689
7,DatoAlMinuto,,"🔷 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/iCvu3ZA7rr",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
8,InfoLecturas,,🔷 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/0zBBcIQIcD,False,"Valencia, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
9,Lecturas24H,,"🔵 Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/NoBIjdlDea",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
10,EjeDigital,,"🔷 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/0NG9c22FhD",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
11,RondonTuAmigo,Geriatriamexico,RT @Geriatriamexico: Las #PersonasMayores tienen derecho a la igualdad y no discriminación por razones de edad https://t.co/pBNFvgFOtq,True,Arequipa-Peru,Las PersonasMayores tienen derecho a la igualdad y no discriminación por razones de edad,0.0
12,rnaudmeunier,InfoTextual,"RT @InfoTextual: 🌀 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/NR3x8DLxVY",True,,¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
13,boizo jorge,INAPAM,RT @INAPAM: Te compartimos algunas recomendaciones en esta época de frío para las #PersonasMayores.  ⬇ https://t.co/v44fdxB0R6,True,,Te compartimos algunas recomendaciones en esta época de frío para las PersonasMayores,0.296
14,DDS es,,"La luz azul se utiliza para fines terapéuticos, pero siempre bajo un estricto control médico. Sin embargo, una exposición abusiva puede provocar estrés oxidativo y sequedad cutánea lo que conlleva a un mayor envejecimiento y pigmentación... https://t.co/AUJOPurBVX https://t.co/QWaYDw7YvA",False,,La luz azul se utiliza para fines terapéuticos pero siempre bajo un estricto control médico Sin embargo una exposición abusiva puede provocar estrés oxidativo y sequedad cutánea lo que conlleva a un mayor envejecimiento y pigmentación,-0.8885
15,YLavrenko,cuanto curioso,"RT @cuanto_curioso: 💣 Grandes avances en la lucha contra el cáncer, la diabetes, la demencia y otras enfermedades provocadas por el envejec…",True,CALIFORNIA,Grandes avances en la lucha contra el cáncer la diabetes la demencia y otras enfermedades provocadas por el envejec…,-0.7906
16,cuanto curioso,,"💣 Grandes avances en la lucha contra el cáncer, la diabetes, la demencia y otras enfermedades provocadas por el envejecimiento celular... https://t.co/tFMZmsQC9W",False,España y Latinoamérica,Grandes avances en la lucha contra el cáncer la diabetes la demencia y otras enfermedades provocadas por el envejecimiento celular,-0.7906
17,InterDifusion,,"🌀 Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/lyZS4HvHP4",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio,0.0
18,dgfeseph,INAPAM,RT @INAPAM: Te compartimos algunas recomendaciones en esta época de frío para las #PersonasMayores.  ⬇ https://t.co/v44fdxB0R6,True,"Pachuca de Soto, Hidalgo",Te compartimos algunas recomendaciones en esta época de frío para las PersonasMayores,0.296
19,INAPAM,,Te compartimos algunas recomendaciones en esta época de frío para las #PersonasMayores.  ⬇ https://t.co/v44fdxB0R6,False,México,Te compartimos algunas recomendaciones en esta época de frío para las PersonasMayores,0.296
20,edgaryviejitos,"HelpAgeEspana, HelpAge, conviteac",RT @HelpAgeEspana: Nuevo informe de @HelpAge y @conviteac sobre las necesidades de las #personasmayores en #Venezuela ante la crisis humani…,True,Venezuela,Nuevo informe de  y  sobre las necesidades de las personasmayores en Venezuela ante la crisis humani…,-0.6249
21,JoaquinDLF,elbotiquinmx,RT @elbotiquinmx: Esto las convierte en una fuente perfecta para luchar contra el envejecimiento. https://t.co/r055SET8OR,True,,Esto las convierte en una fuente perfecta para luchar contra el envejecimiento,0.296
