,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
0,BCN 0N,,🍁 El envejecimiento puede revertirse como cualquier enfermedad gracias a un fármaco sintetizado por la Escuela de Medicina de Harvard.... https://t.co/FljKpx5w09,False,"Barcelona, España",El envejecimiento puede revertirse como cualquier enfermedad gracias a un fármaco sintetizado por la Escuela de Medicina de Harvard,0.6597
1,ElDiaDeSoria,,El envejecimiento del parque móvil incrementa las ITV un 10% en los últimos cinco años https://t.co/D2jSnlsnLa https://t.co/b8ZFL6JHzp,False,"Soria, España",El envejecimiento del parque móvil incrementa las ITV un 10 en los últimos cinco años,0.0
2,carlos asturies,,"La situación en menos de 15 años empezará a ser dramática en #asturias. La caída y envejecimiento de la población dibujan un futuro negro. O empezamos a invertir en conciliación, empleo y diversificación industrial o seremos un #paraisodesierto https://t.co/ARq1NP6KX7",False,Aviles,La situación en menos de 15 años empezará a ser dramática en asturias La caída y envejecimiento de la población dibujan un futuro negro O empezamos a invertir en conciliación empleo y diversificación industrial o seremos un paraisodesierto,0.0
3,GustavoG1980,DianaPacios,"RT @DianaPacios: “Desde 1980, se han producido 52 millones de abortos en la UE”
52 millones de niños que no nacieron. 
Es el equivalente a…",True,"Santa Cruz, Argentina","“Desde 1980 se han producido 52 millones de abortos en la UE”
52 millones de niños que no nacieron 
Es el equivalente a…",0.0
4,marisolmuradas,CCronicidad,"RT @CCronicidad: Más #envejecimiento, más #crónicos = más necesidades clínicas y sociales. 
La Universidad de #SantiagodeCompostela lanza l…",True,"Vigo, España","Más envejecimiento más crónicos  más necesidades clínicas y sociales 
La Universidad de SantiagodeCompostela lanza l…",0.0
5,DiarioPalentino,,El envejecimiento del parque móvil incrementa las ITV un 10% en los últimos cinco años https://t.co/577xm82T8b https://t.co/Z5Le1odgSY,False,Palencia,El envejecimiento del parque móvil incrementa las ITV un 10 en los últimos cinco años,0.0
6,TeActualizas,,"⚡️ Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/8kors1J8Ze",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado,0.0
7,DiadeValladolid,,El envejecimiento del parque móvil incrementa las ITV un 10% en los últimos cinco años https://t.co/wgFfF8DNBm https://t.co/B6YpBZqfhi,False,Valladolid,El envejecimiento del parque móvil incrementa las ITV un 10 en los últimos cinco años,0.0
8,resiavdasanluis,,¿De qué hablamos cuando hablamos de envejecimiento saludable?  #PersonasMayores #SaludParaTodos https://t.co/bmXM1wS5xn https://t.co/OZzKWptBok,False,,¿De qué hablamos cuando hablamos de envejecimiento saludable  PersonasMayores SaludParaTodos,0.4019
9,grupo ssi,,"Villa Olvido, un ""pueblo"" creado para personas con alzhéimer donde pueden hacer vida normal #Envejecimiento #GrupoSSI https://t.co/El4QtnLnXr",False,"Bilbao, País Vasco",Villa Olvido un pueblo creado para personas con alzhéimer donde pueden hacer vida normal Envejecimiento GrupoSSI,0.25
10,prevencionjcyl,mutuamaz,"¡La #PRL se mueve en #JCyL!

#EventosPRL

Jornada Técnica: La Prevención del Envejecimiento Cognitivo y Hábitos Saludables

Organiza #ASSLSalamanca y colabora @mutuamaz

#Salamanca 11/12/19

INFO e inscripciones:

https://t.co/DfpRCdLKKH https://t.co/9D5us587l1",False,"Castilla y León, España","¡La PRL se mueve en JCyL

EventosPRL

Jornada Técnica La Prevención del Envejecimiento Cognitivo y Hábitos Saludables

Organiza ASSLSalamanca y colabora 

Salamanca 111219

INFO e inscripciones",0.4019
11,Xgba,"elindepcom, FundlaCaixa",RT @elindepcom: . @FundlaCaixa ha concedido este año a 45 proyectos que pretenden dar respuesta a retos sociales derivados del envejecimien…,True,"Barcelona, Vic, Spain",ha concedido este año a 45 proyectos que pretenden dar respuesta a retos sociales derivados del envejecimien…,0.3182
12,EjeDigital,,🔥 Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/hztFkCyAw9,False,"Comunidad de Madrid, España",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad,0.0
13,KaisserXose,materia ciencia,"Cuatro hermanos de 110, 109, 103 y 101 años iluminan los genes de la longevidad https://t.co/77ju1YzQ67 vía @materia_ciencia",False,,Cuatro hermanos de 110 109 103 y 101 años iluminan los genes de la longevidad  vía,0.0
14,jo18jupiter,"redaccionmedica, universitatURV",RT @redaccionmedica: #MedicinaInterna | Un grupo investigador de la @universitatURV ha determinado que un patrón dietético rico en frutas y…,True,,MedicinaInterna  Un grupo investigador de la  ha determinado que un patrón dietético rico en frutas y…,0.7184
15,ElDiaSegovia,,El envejecimiento del parque móvil incrementa las ITV un 10% en los últimos cinco años https://t.co/xqgggmbNq4 https://t.co/9XOciGzMWA,False,"Segovia, España",El envejecimiento del parque móvil incrementa las ITV un 10 en los últimos cinco años,0.0
16,Datos365,,📌 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/Xb546xppoW,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
17,AlereAnimus,,"El #envejecimiento. Esa es una realidad irrefutable pero justamente ese proceso es una señal de que ESTAMOS VIVOS. Existen dos tipos de envejecimientos...
https://t.co/mSwniBrDQz https://t.co/jwz8C2JJme",False,,El envejecimiento Esa es una realidad irrefutable pero justamente ese proceso es una señal de que ESTAMOS VIVOS Existen dos tipos de envejecimientos,0.6704
18,ClubEditorial,,"📌 Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/R9oHJX4Ss3",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado,0.0
