,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
829,cecibarria,,"Dr Molina, geriatra de la Meds y la situación de los adultos mayores en Chile https://t.co/bLI35VrxQa",False,Chile,Dr Molina geriatra de la Meds y la situación de los adultos mayores en Chile,0.0
830,USAPEECLatAm,,¿#SabiasQue la carne de pavo previene el envejecimiento celular y lucha contra los daños de los radicales libres.?  #cocinandoconpavo https://t.co/krAA3ke9m5,False,Mexico,¿SabiasQue la carne de pavo previene el envejecimiento celular y lucha contra los daños de los radicales libres  cocinandoconpavo,-0.296
831,SantoTome Ve,,"La remolacha, la berenjena, las cerezas y la patilla contienen antioxidantes que ayudan a combatir el envejecimiento de todo el cuerpo. Sus nutrientes disminuyen el riesgo de cáncer y preservan la memoria.",False,"Estado Bolívar, Venezuela",La remolacha la berenjena las cerezas y la patilla contienen antioxidantes que ayudan a combatir el envejecimiento de todo el cuerpo Sus nutrientes disminuyen el riesgo de cáncer y preservan la memoria,-0.7506
832,elbotiquinmx,,"Si tienes 34 o más, lamentamos decirte que ya estás envejeciendo. https://t.co/JgfGQ131ee",False,México,Si tienes 34 o más lamentamos decirte que ya estás envejeciendo,-0.4728
833,TuitSugerido,,🔷 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/cGLNVI0JGH,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
834,ByqSac,,"Alto poder de adhesión, excelente resistencia al envejecimiento por fatiga, no inflamable. VF 2600 💪 https://t.co/1aBWPirgM2",False,,Alto poder de adhesión excelente resistencia al envejecimiento por fatiga no inflamable VF 2600,0.4019
835,Enteremonos,,🔵 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/pyJ9SERnCw,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
836,redputaylor,"BelieberBoyJAMP, NifJoel","@BelieberBoyJAMP @NifJoel bueno, lo de Rihanna era más q esperarse, tiene una longevidad q nadie más tiene",False,argentina🇦🇷,bueno lo de Rihanna era más q esperarse tiene una longevidad q nadie más tiene,0.1779
837,adi vigirima,Milicia LaGuair,RT @Milicia_LaGuair: La granada es una fruta con importantes propiedades curativas. Su contenido en sustancias como la vitamina C y los fla…,True,EJE ORIENTAL CARABOBO,La granada es una fruta con importantes propiedades curativas Su contenido en sustancias como la vitamina C y los fla…,0.4588
838,DanielSerrn,beajolie38,RT @beajolie38: Un estudio reveló que las peleas o discusiones regulares en una relación de pareja pueden favorecer la longevidad de sus in…,True,Ecuador,Un estudio reveló que las peleas o discusiones regulares en una relación de pareja pueden favorecer la longevidad de sus in…,0.0258
839,AdaBassiT,"Gob Copiapo, BassaurePaulina",RT @Gob_Copiapo: La Gob @BassaurePaulina compartió con más de 100 adultos mayores una jornada de reflexión en el marco del Programa Envejec…,True,"Atacama, Chile",La Gob  compartió con más de 100 adultos mayores una jornada de reflexión en el marco del Programa Envejec…,0.34
840,SenamaAtacama,"Gob Copiapo, BassaurePaulina",RT @Gob_Copiapo: La Gob @BassaurePaulina compartió con más de 100 adultos mayores una jornada de reflexión en el marco del Programa Envejec…,True,,La Gob  compartió con más de 100 adultos mayores una jornada de reflexión en el marco del Programa Envejec…,0.34
841,elnetoram,velvet bet,RT @velvet_bet: Hoy inauguramos un nuevo #CASSA #INED llamado “DESEOS DE VIVIR” con #PersonasMayores de las colonias Atlampa y San Simón To…,True,,Hoy inauguramos un nuevo CASSA INED llamado “DESEOS DE VIVIR” con PersonasMayores de las colonias Atlampa y San Simón To…,0.0
842,RepartoDigital,,🔷 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/nWFmapnqnV,False,"Comunidad de Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
843,elnetoram,velvet bet,"RT @velvet_bet: Te brindamos información importante sobre la violencia en #PersonasMayores Si eres víctima de violencia, acércate a #INED @…",True,,Te brindamos información importante sobre la violencia en PersonasMayores Si eres víctima de violencia acércate a INED …,-0.8591
844,elnetoram,velvet bet,RT @velvet_bet: #PersonasMayores te seguimos atendiendo en los módulos #INED y ponemos a tus órdenes el directorio de los Centros Integrado…,True,,PersonasMayores te seguimos atendiendo en los módulos INED y ponemos a tus órdenes el directorio de los Centros Integrado…,0.0
845,elnetoram,velvet bet,"RT @velvet_bet: Atención, asesorías, servicios, cultura, entretenimiento, son algunas de las cosas que puedes encontrar en nuestras Ferias…",True,,Atención asesorías servicios cultura entretenimiento son algunas de las cosas que puedes encontrar en nuestras Ferias…,0.7184
846,SuperTrinos,,"🔵 Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/9csyoasG2y",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado,0.0
847,YOLANDAMFS,"CSHHPalencia, CSHHPalencia",RT @CSHHPalencia: El día 18 hablamos en @CSHHPalencia sobre #discapacidad y envejecimiento. No te pierdas esta cita para seguir aprendiendo…,True,ESPAÑA,El día 18 hablamos en  sobre discapacidad y envejecimiento No te pierdas esta cita para seguir aprendiendo…,0.1139
848,BarbaraBignone,BATerceraEdad,"RT @BATerceraEdad: #FormaciónIntegral
En el Cierre de #CoraSonando en la Escuela Nº 9 del distrito escolar Nº 13. Los referentes de los Cen…",True,,"FormaciónIntegral
En el Cierre de CoraSonando en la Escuela Nº 9 del distrito escolar Nº 13 Los referentes de los Cen…",-0.5267
849,Riano1946,CruzRojaLeonES,"RT @CruzRojaLeonES: 3,2, 1... Lanzamos nuestra campaña de concienciación sobre el #BuenTrato a las personas mayores. Aprende a escucharlas,…",True,,32 1 Lanzamos nuestra campaña de concienciación sobre el BuenTrato a las personas mayores Aprende a escucharlas…,0.128
850,milenapayares01,"cuadrosrobinson, MinSaludCol",RT @cuadrosrobinson: Un gran encuentro liderado por el @MinSaludCol construyendo en equipo la Agenda 20/20 sobre envejecimiento y vejez 👍🏽…,True,"Cartagena, Colombia",Un gran encuentro liderado por el  construyendo en equipo la Agenda 2020 sobre envejecimiento y vejez …,0.6249
