,emisor,mencionado,texto,rt,localizacion,texto_limpio,sent_score
0,VctorMorera3,ana alicia m2,"RT @ana_alicia_m2: #CubanosConDerechos 
Con indicadores de salud a la altura de los países desarrollados, #Cuba muestra resultados alentado…",True,,"CubanosConDerechos 
Con indicadores de salud a la altura de los países desarrollados Cuba muestra resultados alentado…",0.0
1,anapatriciarrss,MJ SaludBelleza,"RT @MJ_SaludBelleza: Tocoferol: Vitamina E de origen natural, que actúa como antioxidante retardando el envejecimiento de la piel.

https:/…",True,Spain,"Tocoferol Vitamina E de origen natural que actúa como antioxidante retardando el envejecimiento de la piel

https…",0.5719
2,CLICMODO,,"⚡️ Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/cvY4rkUPwr",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado,0.0
3,villemor67,ana alicia m2,"RT @ana_alicia_m2: #CubanosConDerechos 
Con indicadores de salud a la altura de los países desarrollados, #Cuba muestra resultados alentado…",True,,"CubanosConDerechos 
Con indicadores de salud a la altura de los países desarrollados Cuba muestra resultados alentado…",0.0
4,CandeleroCiego,,🍁 El envejecimiento puede revertirse como cualquier enfermedad gracias a un fármaco sintetizado por la Escuela de Medicina de Harvard.... https://t.co/CnyaNZGspe,False,España,El envejecimiento puede revertirse como cualquier enfermedad gracias a un fármaco sintetizado por la Escuela de Medicina de Harvard,0.6597
5,ReporteActivo,,⚡️ Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/fyTEpHoJRX,False,"Comunidad de Madrid, España",Si quieres vivir muchos años Asegúrate de tener una pareja feliz,0.743
6,GrandesMedios,,🔥 ¿Cuántos años podemos vivir los humanos? #Longevidad https://t.co/btsarcdc0z,False,"Madrid, España",¿Cuántos años podemos vivir los humanos Longevidad,0.0
7,LaRedRevela,,⚡️ Sentirte joven hará que se retrase el envejecimiento de tu cerebro https://t.co/exHPYGitj8,False,"Comunidad de Madrid, España",Sentirte joven hará que se retrase el envejecimiento de tu cerebro,-0.3182
8,marielitalg,IESSZamora,"RT @IESSZamora: Como parte de la estrategia #IESSProSalud, los adultos mayores del Programa de Envejecimiento Activo y Saludable de Zamora,…",True,Ecuador,Como parte de la estrategia IESSProSalud los adultos mayores del Programa de Envejecimiento Activo y Saludable de Zamora…,0.6597
9,LosArticulistas,,"⚡️ ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/uGTL4574ya",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
10,evaro77,ElenaSaiz63,RT @ElenaSaiz63: Investigadores españoles demuestran que una dieta saludable ralentiza el envejecimiento celular https://t.co/ph8eXl2EIk ví…,True,"Vilafranca del Penedès, España",Investigadores españoles demuestran que una dieta saludable ralentiza el envejecimiento celular  ví…,0.4019
11,CosmeticsKary,,#RT #models Producto de Importación 3 pzas Suero de arroz blanco de semillas de té verde Natural Anti envejecimiento anti arrugas hidratante tratamiento para el acné https://t.co/TvyUSZzgfx https://t.co/jL7mONlW28,True,,RT models Producto de Importación 3 pzas Suero de arroz blanco de semillas de té verde Natural Anti envejecimiento anti arrugas hidratante tratamiento para el acné,0.3612
12,RepartoDigital,,📌 Sentirte joven hará que se retrase el envejecimiento de tu cerebro https://t.co/bhj1NdcGSA,False,"Comunidad de Madrid, España",Sentirte joven hará que se retrase el envejecimiento de tu cerebro,-0.3182
13,ElianneHecht,"Andresabt, Municipio CH",RT @Andresabt: Estamos en el cierre del Taller para Adultos Mayores “ Abiertamente” que llevo adelante el @Municipio_CH fomentando el Envej…,True,Montevideo - Uruguay,Estamos en el cierre del Taller para Adultos Mayores “ Abiertamente” que llevo adelante el  fomentando el Envej…,0.5267
14,Andresabt,Municipio CH,Estamos en el cierre del Taller para Adultos Mayores “ Abiertamente” que llevo adelante el @Municipio_CH fomentando el Envejecimiento Activo 👏🏻👏🏻👏🏻 Gracias a la Psi. Gabriela Cuadro y Juan Martín Casamayou 👍🏻 https://t.co/UTexErb6nd,False,MONTEVIDEO- URUGUAY,Estamos en el cierre del Taller para Adultos Mayores “ Abiertamente” que llevo adelante el  fomentando el Envejecimiento Activo  Gracias a la Psi Gabriela Cuadro y Juan Martín Casamayou,0.7964
15,wonderyardx,,esta mujer no conoce el envejecimiento sigue estando igual que hace 5 años https://t.co/IZAyvOUH6J,False,Slytherin ,esta mujer no conoce el envejecimiento sigue estando igual que hace 5 años,0.3612
16,abogadopaojeda,20m,"Los cambios que llegan en la jubilación a partir de enero de 2020 
-el envejecimiento empieza a ser un problema  en España-
https://t.co/jCclCZKoXO vía @20m",False,España,"Los cambios que llegan en la jubilación a partir de enero de 2020 
el envejecimiento empieza a ser un problema  en España
 vía",-0.4019
17,mfeijoo,,"“La economía actual nos necesita más como consumidores que como trabajadores”, dice Fernando Fantova en #ZarautzOn #longevidad #retos https://t.co/nudPhFCf1N",False,,“La economía actual nos necesita más como consumidores que como trabajadores” dice Fernando Fantova en ZarautzOn longevidad retos,0.0772
18,Lorennyh,,"¡Disponible ahora! Nuestro dispositivo de belleza más poderoso para combatir el envejecimiento. Disfruta de la lujosa experiencia de Spa, ¡en la comodidad de tu hogar! #ageLOC #GalvanicSpa #nuskin ⁣.⁣
⁣.⁣
⁣.⁣
⁣ya 📲… https://t.co/soGgaQwF9S",False,Colombia,"¡Disponible ahora Nuestro dispositivo de belleza más poderoso para combatir el envejecimiento Disfruta de la lujosa experiencia de Spa ¡en la comodidad de tu hogar ageLOC GalvanicSpa nuskin ⁣⁣
⁣⁣
⁣⁣
⁣ya …",0.8667
19,pablosoma,felipeisidro13,"RT @felipeisidro13: EJERCICIO&amp;ENVEJECIMIENTO
Desgaste de TELÓMEROS, inestabilidad genómica, alteraciones epigenéticas, pérdida de proteosta…",True,Murcia,"EJERCICIOampENVEJECIMIENTO
Desgaste de TELÓMEROS inestabilidad genómica alteraciones epigenéticas pérdida de proteosta…",-0.3182
20,JulioTrigoLope1,ana alicia m2,"RT @ana_alicia_m2: #CubanosConDerechos 
Con indicadores de salud a la altura de los países desarrollados, #Cuba muestra resultados alentado…",True,La Habana,"CubanosConDerechos 
Con indicadores de salud a la altura de los países desarrollados Cuba muestra resultados alentado…",0.0
21,yzherrera,MJ SaludBelleza,"RT @MJ_SaludBelleza: Tocoferol: Vitamina E de origen natural, que actúa como antioxidante retardando el envejecimiento de la piel.

https:/…",True,,"Tocoferol Vitamina E de origen natural que actúa como antioxidante retardando el envejecimiento de la piel

https…",0.5719
22,cpvfarvalme,"GeSIDA, carolinesabin",RT @GeSIDA: .@carolinesabin cierra la sesión inaugural de #GeSIDA19 con un tema de gran relevancia (presente y futura): envejecimiento y #V…,True,ESPAÑA,cierra la sesión inaugural de GeSIDA19 con un tema de gran relevancia presente y futura envejecimiento y V…,0.6249
23,GuerreroCuba,ana alicia m2,"RT @ana_alicia_m2: #CubanosConDerechos 
Con indicadores de salud a la altura de los países desarrollados, #Cuba muestra resultados alentado…",True,,"CubanosConDerechos 
Con indicadores de salud a la altura de los países desarrollados Cuba muestra resultados alentado…",0.0
24,NerimSarrio,AndraEgunkaria,RT @AndraEgunkaria: 12-14 DICIEMBRE | SANTANDER | Jornadas: ‘Mujer  y  Envejecimiento’ https://t.co/E7bGIeYR3M https://t.co/YvDRAYP90d,True,,1214 DICIEMBRE  SANTANDER  Jornadas ‘Mujer  y  Envejecimiento’,0.0
25,translatingscie,,Vicente Andrés García: “Si somos capaces de frenar el envejecimiento prematuro es muy posible que encontremos pistas para mejorar el envejecimiento fisiológico”  https://t.co/HETyNi1lLM,False,España,Vicente Andrés García “Si somos capaces de frenar el envejecimiento prematuro es muy posible que encontremos pistas para mejorar el envejecimiento fisiológico”,0.4404
26,TuitSugerido,,🔥 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/oB7nvqDHDE,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
27,Twittematico,,📌 Si quieres vivir muchos años... Asegúrate de tener una pareja feliz https://t.co/pcIrnEWfEH,False,"Comunidad de Madrid, España",Si quieres vivir muchos años Asegúrate de tener una pareja feliz,0.743
28,CruzRojaBurgos,"museoevolucion, platabur, APeriodistasBUR","Presentes en el encuentro que hoy busca poner en valor el esfuerzo de los #voluntarios y #voluntarias de toda la ciudad en el @museoevolucion
➡Contamos con Marco Aurelio de Miguel que cuenta su experiencia con #PersonasMayores #GraciasVoluntariado @platabur
@APeriodistasBUR https://t.co/MxWCFiyhaw",False,,"Presentes en el encuentro que hoy busca poner en valor el esfuerzo de los voluntarios y voluntarias de toda la ciudad en el 
Contamos con Marco Aurelio de Miguel que cuenta su experiencia con PersonasMayores GraciasVoluntariado",0.34
29,inigoalli,viejenials,RT @viejenials: Estamos en el mejor momento demográfico de la historia de España y de Andalucía. Contra la teoría apocalíptica sobre la lon…,True,PAM|MAD|CAN|CAT|VAL,Estamos en el mejor momento demográfico de la historia de España y de Andalucía Contra la teoría apocalíptica sobre la lon…,-0.0516
30,Lecturas24H,,"🔥 Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/NoBIjdlDea",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
31,desdelaluna,BATerceraEdad,"RT @BATerceraEdad: Hoy recibimos la visita de #PersonasMayores representantes de Centros de Jubilados y participantes de ""#LaTerceraEnLaCal…",True,,Hoy recibimos la visita de PersonasMayores representantes de Centros de Jubilados y participantes de LaTerceraEnLaCal…,0.0
32,Virginiaperex,El Universal Mx,"RT @El_Universal_Mx: La vida agitada, el trabajo y un sin número de actividades, puede llevar a las personas a comer mal, lo que repercute…",True,,La vida agitada el trabajo y un sin número de actividades puede llevar a las personas a comer mal lo que repercute…,0.0772
33,Hiperenlazados,,"🔥 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/FCpJ3A6Vhw",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
34,MONCE1977,,"Cuatro hermanos de 110, 109, 103 y 101 años iluminan los genes de la longevidad https://t.co/5COhgLswGM",False,"Madrid, Comunidad de Madrid",Cuatro hermanos de 110 109 103 y 101 años iluminan los genes de la longevidad,0.0
35,BSC Spain,infosalus com,El ayuno intermitente aumenta la longevidad en pacientes con cateterismo cardíaco https://t.co/dxXEw0ePp2 vía @infosalus_com https://t.co/aWh2V6sLNE,False,"Madrid, Spain",El ayuno intermitente aumenta la longevidad en pacientes con cateterismo cardíaco  vía,0.0
36,infosalus com,,"Carcedo aboga por combatir la obesidad desde la infancia para garantizar el envejecimiento saludable

https://t.co/cWBlVLYUek",False,,Carcedo aboga por combatir la obesidad desde la infancia para garantizar el envejecimiento saludable,0.6486
37,InfoReportes,,"⚡️ Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/rxGrkSCVpg",False,"Madrid, Comunidad de Madrid",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio,0.0
38,FannyMuS,felipeisidro13,"RT @felipeisidro13: EJERCICIO&amp;ENVEJECIMIENTO
Desgaste de TELÓMEROS, inestabilidad genómica, alteraciones epigenéticas, pérdida de proteosta…",True,,"EJERCICIOampENVEJECIMIENTO
Desgaste de TELÓMEROS inestabilidad genómica alteraciones epigenéticas pérdida de proteosta…",-0.3182
39,AndreuFuste,felipeisidro13,"RT @felipeisidro13: EJERCICIO&amp;ENVEJECIMIENTO
Desgaste de TELÓMEROS, inestabilidad genómica, alteraciones epigenéticas, pérdida de proteosta…",True,Barcelona,"EJERCICIOampENVEJECIMIENTO
Desgaste de TELÓMEROS inestabilidad genómica alteraciones epigenéticas pérdida de proteosta…",-0.3182
40,Santy CE,genotipia,RT @genotipia: #ENTREVISTA Vicente Andrés García: “Si somos capaces de frenar el envejecimiento prematuro es muy posible que encontremos pi…,True,Argentina - La Plata,ENTREVISTA Vicente Andrés García “Si somos capaces de frenar el envejecimiento prematuro es muy posible que encontremos pi…,0.0
41,Mujeres Talento,"mujerconciencia, MartaBueno86G","RT @mujerconciencia: .@MartaBueno86G : ""Envejecer no es igual para hombres y para mujeres. Podemos enfocar esta etapa vital desde una visió…",True,,Envejecer no es igual para hombres y para mujeres Podemos enfocar esta etapa vital desde una visió…,0.1779
42,CruzRojaBurgos,"museoevolucion, Aytoburgos, APeriodistasBUR","Presentes en el encuentro que hoy busca poner en valor el esfuerzo de los #voluntarios y #voluntarias de toda la ciudad en el @museoevolucion
➡Contamos con Marco Aurelio de Miguel que cuenta su experiencia con #PersonasMayores #GraciasVoluntariado @Aytoburgos
@APeriodistasBUR https://t.co/k5hvbYug4m",False,,"Presentes en el encuentro que hoy busca poner en valor el esfuerzo de los voluntarios y voluntarias de toda la ciudad en el 
Contamos con Marco Aurelio de Miguel que cuenta su experiencia con PersonasMayores GraciasVoluntariado",0.34
43,birpasa,AndraEgunkaria,RT @AndraEgunkaria: 12-14 DICIEMBRE | SANTANDER | Jornadas: ‘Mujer  y  Envejecimiento’ https://t.co/E7bGIeYR3M https://t.co/YvDRAYP90d,True,,1214 DICIEMBRE  SANTANDER  Jornadas ‘Mujer  y  Envejecimiento’,0.0
44, mfire,felipeisidro13,"RT @felipeisidro13: EJERCICIO&amp;ENVEJECIMIENTO
Desgaste de TELÓMEROS, inestabilidad genómica, alteraciones epigenéticas, pérdida de proteosta…",True,,"EJERCICIOampENVEJECIMIENTO
Desgaste de TELÓMEROS inestabilidad genómica alteraciones epigenéticas pérdida de proteosta…",-0.3182
45,Pensadorazo,"kglucksmann, RvirreiraZ, ximerincon","@kglucksmann @RvirreiraZ @ximerincon Con un seguro de longevidad y financiando tu 3ra edad con ahorros propios, también habría estímulo a cotizar. Mientras más ahorro mejor tu primera etapa.
De cualquier manera hay mucha dispersión en las propuestas.
Quintana propone llevar el 5% a reparto complementario!",False,,"Con un seguro de longevidad y financiando tu 3ra edad con ahorros propios también habría estímulo a cotizar Mientras más ahorro mejor tu primera etapa
De cualquier manera hay mucha dispersión en las propuestas
Quintana propone llevar el 5 a reparto complementario",0.4877
46,ANTONUD,felipeisidro13,"RT @felipeisidro13: EJERCICIO&amp;ENVEJECIMIENTO
Desgaste de TELÓMEROS, inestabilidad genómica, alteraciones epigenéticas, pérdida de proteosta…",True,,"EJERCICIOampENVEJECIMIENTO
Desgaste de TELÓMEROS inestabilidad genómica alteraciones epigenéticas pérdida de proteosta…",-0.3182
47,Difusion365,,🔥 Sentirte joven hará que se retrase el envejecimiento de tu cerebro https://t.co/9i5xnD0mBP,False,"Comunidad de Madrid, España",Sentirte joven hará que se retrase el envejecimiento de tu cerebro,-0.3182
48,SArestizabal,vitalia group,"RT @vitalia_group: Descubre en Vitalia, tu #CentrodeDía, los servicios de los que disponemos para #personasmayores.

▶️https://t.co/29tUMdY…",True,,"Descubre en Vitalia tu CentrodeDía los servicios de los que disponemos para personasmayores

…",0.0
49,InfoApuntes,,⚡️ Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/8DOjQScPVN,False,"Comunidad de Madrid, España",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad,0.0
50,luisfergomguch,genotipia,RT @genotipia: #ENTREVISTA Vicente Andrés García: “Si somos capaces de frenar el envejecimiento prematuro es muy posible que encontremos pi…,True,,ENTREVISTA Vicente Andrés García “Si somos capaces de frenar el envejecimiento prematuro es muy posible que encontremos pi…,0.0
51,NotaVeraz,,"🔥 Discapacidad, ¿el precio por vivir más? #Envejecimiento https://t.co/5iot1o5Idn",False,"Comunidad de Madrid, España",Discapacidad ¿el precio por vivir más Envejecimiento,0.0
52,DiezMerito,,"Con el sistema de criaderas y soleras, los vinos más viejos se benefician de la frescura de los jóvenes y éstos de las características adquiridas durante años de envejecimiento.
#DíezMérito
#VinosDeJerez
#CriaderasySolera
#CorrerEscalas
#Trasiegos
#Cabezuelas
#VeloDeFlor https://t.co/ao2KNhn2vE",False,"Jerez de la Frontera, España","Con el sistema de criaderas y soleras los vinos más viejos se benefician de la frescura de los jóvenes y éstos de las características adquiridas durante años de envejecimiento
DíezMérito
VinosDeJerez
CriaderasySolera
CorrerEscalas
Trasiegos
Cabezuelas
VeloDeFlor",0.4588
53,ApunteIndicado,,"⚡️ Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/joriwWyDsY",False,"Sevilla, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado,0.0
54,Vaneliz20Freire,IESSZamora,"RT @IESSZamora: Como parte de la estrategia #IESSProSalud, los adultos mayores del Programa de Envejecimiento Activo y Saludable de Zamora,…",True,"Quito, Ecuador",Como parte de la estrategia IESSProSalud los adultos mayores del Programa de Envejecimiento Activo y Saludable de Zamora…,0.6597
55,Pinleon,"danidelarosa, pueblocastellan","@danidelarosa @pueblocastellan Para vosotros no es problema porque os habéis beneficiado de ella. Para los leoneses si lo es porque sólo nos ha traído ruina, despoblación y envejecimiento. Por eso queremos irnos y vamos a hacerlo con el Artículo Segundo de la Constitución en la mano que nos legitima para ello.",False,LEON - España,Para vosotros no es problema porque os habéis beneficiado de ella Para los leoneses si lo es porque sólo nos ha traído ruina despoblación y envejecimiento Por eso queremos irnos y vamos a hacerlo con el Artículo Segundo de la Constitución en la mano que nos legitima para ello,0.2401
56,TuiterPro,,"📌 ¿Te gustaría vivir más tiempo? Asegúrate de tener una pareja feliz, dice la ciencia https://t.co/REdt0GeWR5",False,"Comunidad de Madrid, España",¿Te gustaría vivir más tiempo Asegúrate de tener una pareja feliz dice la ciencia,0.8176
57,cristina301269,hartford sl,"RT @hartford_sl: El Salón de Mayores de #Tarazona, organizó una Feria de #voluntariado el #5Dic a la que fueron invitadas las #personasmayo…",True,,El Salón de Mayores de Tarazona organizó una Feria de voluntariado el 5Dic a la que fueron invitadas las personasmayo…,0.3182
58,DaniOrt57975480,IESSZamora,"RT @IESSZamora: Como parte de la estrategia #IESSProSalud, los adultos mayores del Programa de Envejecimiento Activo y Saludable de Zamora,…",True,,Como parte de la estrategia IESSProSalud los adultos mayores del Programa de Envejecimiento Activo y Saludable de Zamora…,0.6597
59,Pensadorazo,"RvirreiraZ, kglucksmann, ximerincon","@RvirreiraZ @kglucksmann @ximerincon A mi también me gusta más la idea de financiar 3ra edad con ahorros y 4ta edad con seguro de longevidad!
Aparte que mejoraría la desigualdad con las mujeres y eliminaría la necesidad de divorciarse para aumentar la pensión de ambos de la pareja!",False,,"A mi también me gusta más la idea de financiar 3ra edad con ahorros y 4ta edad con seguro de longevidad
Aparte que mejoraría la desigualdad con las mujeres y eliminaría la necesidad de divorciarse para aumentar la pensión de ambos de la pareja",0.7717
60,Postematico,,🔥 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/MI8NnKk96Q,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30,0.4404
61,genotipia,,"#ENTREVISTA Vicente Andrés García: “Si somos capaces de frenar el envejecimiento prematuro es muy posible que encontremos pistas para mejorar el envejecimiento fisiológico”.

#genética #genómica #medicina #salud #envejecimiento #edad #aging

https://t.co/P2xFYD7llf",False,,"ENTREVISTA Vicente Andrés García “Si somos capaces de frenar el envejecimiento prematuro es muy posible que encontremos pistas para mejorar el envejecimiento fisiológico”

genética genómica medicina salud envejecimiento edad aging",0.4404
