,emisor,mencionado,texto,rt,localizacion,texto_limpio
22,DebesLeerlo,,⚠️ Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/gs8weEF0af,False,"Madrid, Comunidad de Madrid",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad
23,BibliotekaEJGV,,"#Novedades de la #Biblioteca 📚 #Estrategia vasca de #gobernanza con las #PersonasMayores (2019-2022) : un modelo de #participación público social. -- 1. argit.. -- Vitoria-Gasteiz : #GVpublicaciones , 2019 https://t.co/vJBKMSmpAa https://t.co/GBqaNdkdad",False,Vitoria-Gasteiz,Novedades de la Biblioteca  Estrategia vasca de gobernanza con las PersonasMayores 20192022  un modelo de participación público social  1 argit  VitoriaGasteiz  GVpublicaciones  2019
24,MinerJoxe,BegoCallejaC,RT @BegoCallejaC: En breve comenzamos el encuentro entre las #PersonasMayores voluntarias de #MiradaActiva de la Asociación del Antiguo y @…,True,LA HIPOCRESÍA SIEMPRE SE NOTA♿,En breve comenzamos el encuentro entre las PersonasMayores voluntarias de MiradaActiva de la Asociación del Antiguo y …
25,LaresAndalucia,Laresmayores,"RT @Laresmayores: Entrega del #PremioLares al Modelo de #Intervención a nivel europeo a Uniao das Misericordias Portuguesas. Por su papel,…",True,,Entrega del PremioLares al Modelo de Intervención a nivel europeo a Uniao das Misericordias Portuguesas Por su papel…
26,LaresAndalucia,Laresmayores,"RT @Laresmayores: Alberto Ibáñez, secretario autonómico de #diversidad e #igualdad de la #ComunidadValenciana, agradece la celebración de e…",True,,Alberto Ibáñez secretario autonómico de diversidad e igualdad de la ComunidadValenciana agradece la celebración de e…
27,GrandesMedios,,💡 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/NGHd165e6I,False,"Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30
28,Laresmayores,,"Entrega del #PremioLares al Modelo de #Intervención a nivel europeo a Uniao das Misericordias Portuguesas. Por su papel, reconocido por las administraciones, en la #intervenciónsocial pasada y presente con las #personasmayores en #Portugal y #España.

#IXPremiosLares 🏆 https://t.co/miZTR1mm0L",False,España,"Entrega del PremioLares al Modelo de Intervención a nivel europeo a Uniao das Misericordias Portuguesas Por su papel reconocido por las administraciones en la intervenciónsocial pasada y presente con las personasmayores en Portugal y España

IXPremiosLares"
29,chunchuca,,"Cuatro hermanos de 110, 109, 103 y 101 años iluminan los genes de la longevidad https://t.co/vUmCzxmsgS",False,,Cuatro hermanos de 110 109 103 y 101 años iluminan los genes de la longevidad
30,figuerjoda,ActualidadRT,"RT @ActualidadRT: El causante de la ""epidemia de soledad"" podría no ser otro que el envejecimiento de la población https://t.co/EWoGfQAKBf",True,"Bucaramanga, Colombia",El causante de la epidemia de soledad podría no ser otro que el envejecimiento de la población
31,joluga68,CruzRojaLeonES,"RT @CruzRojaLeonES: Los/as usuarios/as de la Asamblea de Ponferrada ¡¡siguen haciendo sus adornos navideños!! #CREPonferrada
#PersonasMayor…",True,"Ponferrada, España","Losas usuariosas de la Asamblea de Ponferrada ¡¡siguen haciendo sus adornos navideños CREPonferrada
PersonasMayor…"
32,CruzRojaLeonES,,"Los/as usuarios/as de la Asamblea de Ponferrada ¡¡siguen haciendo sus adornos navideños!! #CREPonferrada
#PersonasMayores #IRPFCyL #Navidad https://t.co/m72nvlimLY",False,"León, España","Losas usuariosas de la Asamblea de Ponferrada ¡¡siguen haciendo sus adornos navideños CREPonferrada
PersonasMayores IRPFCyL Navidad"
33,LaresAndalucia,Laresmayores,"RT @Laresmayores: ➡ Jiri Horecky, presidente de la #EAN, agradece la acogida y muestra su orgullo porque #Lares forme parte de la #RedEurop…",True,,Jiri Horecky presidente de la EAN agradece la acogida y muestra su orgullo porque Lares forme parte de la RedEurop…
34,Laresmayores,,"Alberto Ibáñez, secretario autonómico de #diversidad e #igualdad de la #ComunidadValenciana, agradece la celebración de estos premios en #Alicante y resalta la función de #Lares en el #cuidado de #personasmayores y en situación de #dependencia.

#IXPremiosLares 🏆 https://t.co/k5yipxi1jt",False,España,"Alberto Ibáñez secretario autonómico de diversidad e igualdad de la ComunidadValenciana agradece la celebración de estos premios en Alicante y resalta la función de Lares en el cuidado de personasmayores y en situación de dependencia

IXPremiosLares"
35,sajosluis,circulodempresa,Envejecimiento y Pensiones (Infografía) vía @circulodempresa https://t.co/KMgMHgtDY7,False,España,Envejecimiento y Pensiones Infografía vía
36,IACT divulga,CSIC,"RT @CSIC: Entre los objetivos de las #PTI están la predicción climática, la fertilización del suelo, el despoblamiento rural, lograr una al…",True,"Armilla, Andalucía",Entre los objetivos de las PTI están la predicción climática la fertilización del suelo el despoblamiento rural lograr una al…
37,Twittematico,,💡 Científicos explican por qué viven más tiempo las mujeres que los hombres #Longevidad https://t.co/0deJqcPyby,False,"Comunidad de Madrid, España",Científicos explican por qué viven más tiempo las mujeres que los hombres Longevidad
38,CSIC,,"Entre los objetivos de las #PTI están la predicción climática, la fertilización del suelo, el despoblamiento rural, lograr una alimentación mejor para un envejecimiento saludable, la pesca sostenible o las técnicas cuánticas para comunicaciones seguras y computación eficiente https://t.co/bMdzqhJjFW",False,"Madrid, España",Entre los objetivos de las PTI están la predicción climática la fertilización del suelo el despoblamiento rural lograr una alimentación mejor para un envejecimiento saludable la pesca sostenible o las técnicas cuánticas para comunicaciones seguras y computación eficiente
39,Laresmayores,,"➡ Jiri Horecky, presidente de la #EAN, agradece la acogida y muestra su orgullo porque #Lares forme parte de la #RedEuropea de #envejecimiento como entidad representante del #tercersector a nivel nacional. 

#IXPremiosLares 🏆 https://t.co/cYDbsA7JHw",False,España,"Jiri Horecky presidente de la EAN agradece la acogida y muestra su orgullo porque Lares forme parte de la RedEuropea de envejecimiento como entidad representante del tercersector a nivel nacional 

IXPremiosLares"
40,Mundo Omni,,"#Curiosidades. ¿Sabías que el envejecimiento no es continuo, sino por saltos? Se produce en tres momentos clave: a los 34, 60 y 78 años de edad, cuando se alteran repentinamente los niveles de 1.379 proteínas sanguíneas 🩸
https://t.co/RiyT2ch1Z4 https://t.co/Yc0bt9ETfA",False,"Vigo, España",Curiosidades ¿Sabías que el envejecimiento no es continuo sino por saltos Se produce en tres momentos clave a los 34 60 y 78 años de edad cuando se alteran repentinamente los niveles de 1379 proteínas sanguíneas
41,Paleolf,,"Porque queremos que ayudarte a fortalecer y proteger tu sistema inmunológico, tenemos para ti nueva promoción ➡️ con la compra de 50US$ te REGALAREMOS un #Selenio + #Espirulina que también te ayudará a liberar tu organismo de toxinas evitando así el envejecimiento prematuro. https://t.co/Iv8k9EmLTJ",False,"Weston, Florida",Porque queremos que ayudarte a fortalecer y proteger tu sistema inmunológico tenemos para ti nueva promoción  con la compra de 50US te REGALAREMOS un Selenio  Espirulina que también te ayudará a liberar tu organismo de toxinas evitando así el envejecimiento prematuro
42,TeActualizas,,"💡 Caminar lento a los 45 años, un indicador de envejecimiento prematuro #Estudio https://t.co/8kors1J8Ze",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento prematuro Estudio
43,SuperTrinos,,💡 Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30 https://t.co/2Hkd9xdy9N,False,"Comunidad de Madrid, España",Si realizas estos ejercicios podrás tener un mejor envejecimiento a partir de los 30
44,periodistas es,,"Dada la importancia que tiene el envejecimiento cutáneo en la actualidad,  es interesante resaltar que existen determinadas afecciones de la piel que se presentan y que no siempre se tratan... https://t.co/HQl12kZ6IK",False,Iberoamérica,Dada la importancia que tiene el envejecimiento cutáneo en la actualidad  es interesante resaltar que existen determinadas afecciones de la piel que se presentan y que no siempre se tratan
45,yoloxokotl,,"El causante de la ""epidemia de soledad"" podría no ser otro que el envejecimiento de la población - RT https://t.co/4Q8LyMrHh9",True,,El causante de la epidemia de soledad podría no ser otro que el envejecimiento de la población  RT
46,ForannaJuliero,Engativalcaldia,"Así celebramos el cumpleaños de 135 personas mayores que participan de las actividades que realizamos en La casa de Persona mayor Garcés Navas! #PersonaMayorEngativá en @Engativalcaldia 
mantenemos lazos y estrechamos relaciones por un envejecimiento Digno Activo y Feliz 🧓🏻🎂👵🏻🎉 https://t.co/nz2fGEsLOu",False,"Bogotá, D.C., Colombia","Así celebramos el cumpleaños de 135 personas mayores que participan de las actividades que realizamos en La casa de Persona mayor Garcés Navas PersonaMayorEngativá en  
mantenemos lazos y estrechamos relaciones por un envejecimiento Digno Activo y Feliz"
47,ClubEditorial,,"⚠️ Caminar lento a los 45 años, un indicador de envejecimiento acelerado https://t.co/R9oHJX4Ss3",False,"Comunidad de Madrid, España",Caminar lento a los 45 años un indicador de envejecimiento acelerado
48,crejaen,,"Comenzamos el taller de memoria en el C.P.A de Torreperogil con la presentación del libro ""Cuentos que me contaba mi abuela"" de Marta Rodríguez. 
Trabajaremos la memoria mediante cuentos populares y refranes, disfrutando de la sabiduria de nuestras #personasmayores. https://t.co/yZq3GLSJrm",False,Santa María del Valle nº 7,"Comenzamos el taller de memoria en el CPA de Torreperogil con la presentación del libro Cuentos que me contaba mi abuela de Marta Rodríguez 
Trabajaremos la memoria mediante cuentos populares y refranes disfrutando de la sabiduria de nuestras personasmayores"
49,via mire,informacion es,RT @informacion_es: ➕ #INFplus | Uno de cada cuatro residentes en la provincia superará los 65 años en 2033 por el envejecimiento de la pob…,True,París-Alicante-Buenos Aires,INFplus  Uno de cada cuatro residentes en la provincia superará los 65 años en 2033 por el envejecimiento de la pob…
50,mangaralva,"xX RogerG Xx, julia otero",@xX_RogerG_Xx @julia_otero Le felicito por su longevidad. Que tenga éxito en sus negocios.,False,,Le felicito por su longevidad Que tenga éxito en sus negocios
51,BCN 0N,,📌 ¿Cuál es el secreto de la longevidad de las tortugas?... https://t.co/o9bm0EgsRD,False,"Barcelona, España",¿Cuál es el secreto de la longevidad de las tortugas
